number,square,cube,square-root,cube-root
0,0,0,0.0,0.0
1,1,1,1.0,1.0
2,4,8,1.4142135623730951,1.2599210498948732
3,9,27,1.7320508075688772,1.4422495703074083
4,16,64,2.0,1.5874010519681994
5,25,125,2.23606797749979,1.7099759466766968
6,36,216,2.449489742783178,1.8171205928321397
7,49,343,2.6457513110645907,1.912931182772389
8,64,512,2.8284271247461903,2.0
9,81,729,3.0,2.080083823051904
10,100,1000,3.1622776601683795,2.154434690031884
11,121,1331,3.3166247903554,2.2239800905693152
12,144,1728,3.4641016151377544,2.2894284851066637
13,169,2197,3.605551275463989,2.3513346877207573
14,196,2744,3.7416573867739413,2.4101422641752297
15,225,3375,3.872983346207417,2.46621207433047
16,256,4096,4.0,2.5198420997897464
17,289,4913,4.123105625617661,2.571281590658235
18,324,5832,4.242640687119285,2.6207413942088964
19,361,6859,4.358898943540674,2.668401648721945
20,400,8000,4.47213595499958,2.7144176165949063
21,441,9261,4.58257569495584,2.7589241763811203
22,484,10648,4.69041575982343,2.802039330655387
23,529,12167,4.795831523312719,2.8438669798515654
24,576,13824,4.898979485566356,2.8844991406148166
25,625,15625,5.0,2.924017738212866
26,676,17576,5.0990195135927845,2.9624960684073702
27,729,19683,5.196152422706632,3.0
28,784,21952,5.291502622129181,3.0365889718756622
29,841,24389,5.385164807134504,3.072316825685847
30,900,27000,5.477225575051661,3.1072325059538586
31,961,29791,5.5677643628300215,3.1413806523913927
32,1024,32768,5.656854249492381,3.1748021039363987
33,1089,35937,5.744562646538029,3.207534329995826
34,1156,39304,5.830951894845301,3.239611801277483
35,1225,42875,5.916079783099616,3.2710663101885897
36,1296,46656,6.0,3.3019272488946263
37,1369,50653,6.082762530298219,3.332221851645953
38,1444,54872,6.164414002968976,3.361975406798963
39,1521,59319,6.244997998398398,3.3912114430141664
40,1600,64000,6.324555320336759,3.4199518933533937
41,1681,68921,6.4031242374328485,3.4482172403827303
42,1764,74088,6.48074069840786,3.4760266448864496
43,1849,79507,6.557438524302,3.503398060386724
44,1936,85184,6.6332495807108,3.530348335326063
45,2025,91125,6.708203932499369,3.5568933044900626
46,2116,97336,6.782329983125268,3.583047871015946
47,2209,103823,6.855654600401044,3.6088260801386944
48,2304,110592,6.928203230275509,3.634241185664279
49,2401,117649,7.0,3.6593057100229713
50,2500,125000,7.0710678118654755,3.6840314986403864
51,2601,132651,7.14142842854285,3.708429769266189
52,2704,140608,7.211102550927978,3.7325111568172478
53,2809,148877,7.280109889280518,3.756285754221072
54,2916,157464,7.3484692283495345,3.7797631496846193
55,3025,166375,7.416198487095663,3.802952460761391
56,3136,175616,7.483314773547883,3.825862365544778
57,3249,185193,7.54983443527075,3.8485011312768047
58,3364,195112,7.615773105863909,3.8708766406277966
59,3481,205379,7.681145747868608,3.8929964158732604
60,3600,216000,7.745966692414834,3.9148676411688634
61,3721,226981,7.810249675906654,3.936497183102173
62,3844,238328,7.874007874011811,3.9578916096804053
63,3969,250047,7.937253933193772,3.9790572078963917
64,4096,262144,8.0,3.9999999999999996
65,4225,274625,8.06225774829855,4.020725758589058
66,4356,287496,8.12403840463596,4.04124002062219
67,4489,300763,8.18535277187245,4.0615481004456795
68,4624,314432,8.246211251235321,4.081655101917348
69,4761,328509,8.306623862918075,4.101565929702347
70,4900,343000,8.366600265340756,4.121285299808556
71,5041,357911,8.426149773176359,4.140817749422853
72,5184,373248,8.48528137423857,4.160167646103808
73,5329,389017,8.54400374531753,4.179339196381232
74,5476,405224,8.602325267042627,4.198336453808407
75,5625,421875,8.660254037844387,4.217163326508746
76,5776,438976,8.717797887081348,4.235823584254893
77,5929,456533,8.774964387392123,4.254320865115005
78,6084,474552,8.831760866327848,4.272658681697917
79,6241,493039,8.888194417315589,4.290840427026207
80,6400,512000,8.94427190999916,4.308869380063767
81,6561,531441,9.0,4.3267487109222245
82,6724,551368,9.055385138137417,4.344481485768611
83,6889,571787,9.1104335791443,4.362070671454838
84,7056,592704,9.16515138991168,4.379519139887889
85,7225,614125,9.219544457292887,4.396829672158179
86,7396,636056,9.273618495495704,4.414004962442103
87,7569,658503,9.327379053088816,4.431047621693634
88,7744,681472,9.38083151964686,4.4479601811386305
89,7921,704969,9.433981132056603,4.464745095584537
90,8100,729000,9.486832980505138,4.481404746557164
91,8281,753571,9.539392014169456,4.497941445275415
92,8464,778688,9.591663046625438,4.514357435474001
93,8649,804357,9.643650760992955,4.530654896083492
94,8836,830584,9.695359714832659,4.546835943776344
95,9025,857375,9.746794344808963,4.562902635386966
96,9216,884736,9.797958971132712,4.5788569702133275
97,9409,912673,9.848857801796104,4.594700892207039
98,9604,941192,9.899494936611665,4.610436292058446
99,9801,970299,9.9498743710662,4.626065009182741
100,10000,1000000,10.0,4.641588833612778
101,10201,1030301,10.04987562112089,4.657009507803835
102,10404,1061208,10.099504938362077,4.672328728355259
103,10609,1092727,10.14889156509222,4.687548147653597
104,10816,1124864,10.198039027185569,4.7026693754415145
105,11025,1157625,10.246950765959598,4.7176939803165325
106,11236,1191016,10.295630140987,4.732623491163368
107,11449,1225043,10.344080432788601,4.7474593985234
108,11664,1259712,10.392304845413264,4.762203155904598
109,11881,1295029,10.44030650891055,4.776856181035017
110,12100,1331000,10.488088481701515,4.791419857062784
111,12321,1367631,10.535653752852738,4.805895533705332
112,12544,1404928,10.583005244258363,4.820284528350459
113,12769,1442897,10.63014581273465,4.834588127111639
114,12996,1481544,10.677078252031311,4.848807585839879
115,13225,1520875,10.723805294763608,4.862944131094279
116,13456,1560896,10.770329614269007,4.876998961073313
117,13689,1601613,10.816653826391969,4.890973246508748
118,13924,1643032,10.862780491200215,4.904868131524016
119,14161,1685159,10.908712114635714,4.9186847344587274
120,14400,1728000,10.954451150103322,4.93242414866094
121,14641,1771561,11.0,4.9460874432487
122,14884,1815848,11.045361017187261,4.9596756638423
123,15129,1860867,11.090536506409418,4.97318983326859
124,15376,1906624,11.135528725660043,4.986630952238645
125,15625,1953125,11.180339887498949,4.999999999999999
126,15876,2000376,11.224972160321824,5.0132979349645845
127,16129,2048383,11.269427669584644,5.026525695313479
128,16384,2097152,11.313708498984761,5.039684199579492
129,16641,2146689,11.357816691600547,5.05277434720856
130,16900,2197000,11.40175425099138,5.065797019100886
131,17161,2248091,11.445523142259598,5.0787530781327
132,17424,2299968,11.489125293076057,5.091643369659488
133,17689,2352637,11.532562594670797,5.104468722001463
134,17956,2406104,11.575836902790225,5.117229946912048
135,18225,2460375,11.61895003862225,5.12992784003009
